id,fashion,mood,lyrics,style,descr,rand
196,ครีมบำรุงผิว,มอยเจอร์ไรเซอร์เข้มข้น,[Instrumental] [Rich],"Cello, Piano, Warm, Deep, Caring",ครีมบำรุงผิวแห้งกร้าน,0.1180715749
114,วิตามิน,เริ่มต้นวันใหม่,[Instrumental] [Rise],"Acoustic Guitar, Sunny, Happy, Folk Pop, Light Percussion",วิตามินรวมทานหลังมื้อเช้า,0.5718199609
171,อุปกรณ์อาบน้ำ,กลิ่นโอเชี่ยน,[Instrumental] [Wave],"Surf Rock, Electric Guitar, Beach, Cool",สบู่เหลวกลิ่นน้ำทะเลสดชื่น,0.4298583584
140,อาหารเสริม,เพิ่มความสูง,[Instrumental] [Growth],"Orchestral Pop, Rising, Hopeful, Inspiring",อาหารเสริมเด็กวัยเจริญเติบโต,0.5860160803
126,ครีมบำรุงผิว,ผิวผู้ชาย (Men),[Instrumental] [Cool],"Blues Rock, Gritty Guitar, Stomp, Masculine, Bold",ครีมบำรุงผิวหน้าผู้ชาย,0.2748196086
119,วิตามิน,ภูมิคุ้มกัน (Guard),[Instrumental] [Hero],"Pop Rock, Driving Drums, Inspiring, Anthemic",วิตามินเสริมเกราะร่างกาย,0.7030011943
164,ครีมบำรุงผิว,บำรุงผิวกาย (Lotion),[Instrumental] [Daily],"Acoustic Pop, Friendly, Everyday, Happy",โลชั่นทาผิวประจำวัน,0.9661983455
176,ครีมบำรุงผิว,ครีมทาฝ้า,[Instrumental] [Correction],"Jazz Lounge, Sophisticated, Professional",ครีมรักษาฝ้ากระจุดด่างดำ,0.7506757288
199,อุปกรณ์อาบน้ำ,สบู่ทองคำ,[Instrumental] [Gold],"Cinematic, Royal, Grand, Expensive",สบู่ผสมทองคำบริสุทธิ์,0.7737368046
162,วิตามิน,วิตามิน D3,[Instrumental] [Sunshine],"Folk Pop, Sunny, Outdoor, Bright, Healthy",วิตามินแดดบำรุงร่างกาย,0.2321737155
121,อุปกรณ์อาบน้ำ,ขัดผิว (Scrub),[Instrumental] [Rhythmic],"Bossa Nova, Shaker, Acoustic, Relaxing, Earthy",เกลือสปาขัดผิว,0.412342548
139,ครีมบำรุงผิว,บำรุงมือ (Hand Cream),[Instrumental] [Touch],"Acoustic Guitar, Mellow, Sweet, Cozy, Close-up",แฮนด์ครีมนุ่มชุ่มชื้น,0.4551115585
183,อุปกรณ์อาบน้ำ,สบู่น้ำผึ้ง,[Instrumental] [Golden],"Golden Era Pop, Warm, Sweet, Honey",สบู่น้ำผึ้งแท้บำรุงผิว,0.05833789682
106,ครีมบำรุงผิว,"นุ่มนวล, ชุ่มชื้น",[Instrumental] [Fluid],"Dreamy Pop, Ethereal Synths, Soft Percussion, Flowing melody","เซรั่มเนื้อน้ำ, งานผิวอิ่มน้ำ",0.5139648853
122,ครีมบำรุงผิว,ฟื้นฟูข้ามคืน,[Instrumental] [Moonlight],"Downtempo, Velvet Synths, Smooth Jazz, Chill",ไนท์ครีมซ่อมแซมผิว,0.5461381427
112,อาหารเสริม,"สดใส, สุขภาพดี",[Instrumental] [Sunlight],"Sunshine Pop, Handclaps, Optimistic, Bright Rhythm",คอลลาเจนชงดื่มผิวใส,0.4591540579
149,วิตามิน,ธาตุเหล็ก,[Instrumental] [Iron],"Industrial Light, Rhythmic, Strong, Stable",วิตามินเสริมธาตุเหล็ก,0.2367397682
